original_file,inferred_professor,inferred_year,suggested_category,confidence,score_mid1,score_mid2,score_final
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6938.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6939.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6940.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6941.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6962.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6963.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6964.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6965.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6966.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6967.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6968.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6969.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6970.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第三次/IMG_6971.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6943.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6944.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6945.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6946.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6947.JPG,陳建添,2018,unknown,0,0,0,0
